Pos.,Driver,BHR,SAU,AUS,JPN,CHN,MIA,EMI,MON,CAN,ESP,AUT,GBR,HUN,BEL,NED,ITA,AZE,SIN,USA,MXC,SAP,LVG,QAT,ABU,Points
1,Max Verstappen,1PF,1P,RetP,1PF,11 P,21 P,1P,6,1,1,51 P,2,5,4,2,6,5,2,31,6,14 F,5,18,6,437
2,Lando Norris,6,8,3,5,26,1,2,4,2,2PF,20†3,3,2P,5,1PF,3PF,4F,1P,43 P,2,61 P,6F,102 F,1P,374
3,Charles Leclerc,4,3F,2F,4,44,32,3,1P,Ret,5,117,14,4,3P,3,1,2P,5,14,3F,53,4,25,3,356
4,Oscar Piastri,8,4,4,8,87,136 F,4,2,5,7,22,4,1,2,4,2,1,3,5,8,82,7,31,10,292
5,Carlos Sainz Jr.,3,WD,1,3,55,55,5,3,Ret,6,35,5F,6,6,5,4,18†,7,22,1P,Ret5,3,64,2,290
6,George Russell,5,6,17†,7,68,8,7F,5,3P,4,14,RetP,8F,DSQ,7,7,3,4,65,5,46,1P,43 P,5,245
7,Lewis Hamilton,7,9,Ret,9,92,6,6,7F,4F,3,46,1,3,1,8,5,9,6,Ret6,4,10,2,126,4,223
8,Sergio Pérez,2,2,5,2,33,43,8,Ret,Ret,8,78,17,7,7F,6,8,17†,10,7,17,118,10,Ret,Ret,152
9,Fernando Alonso,9,5,8,6,7F,9,19,11,6,12,18F,8,11,8,10,11,6,8,13,Ret,14,11,7,9,70
10,Pierre Gasly,18,Ret,13,16,13,12,16,10,9,9,10,DNS,Ret,13,9,15,12,17,12,10,37,Ret,5,7,42
11,Nico Hülkenberg,16,10,9,11,10,117,11,Ret,11,11,6,6,13,18,11,17,11,9,88,9,DSQ,8,Ret7,8,41
12,Yuki Tsunoda,14,15,7,10,Ret,78,10,8,14,19,14,10,9,16,17,Ret,Ret,12,14,Ret,7,9,13,12,30
13,Lance Stroll,10,Ret,6,12,15,17,9,14,7,14,13,7,10,11,13,19,19†,14,15,11,DNS,15,Ret,14,24
14,Esteban Ocon,17,13,16,15,11,10,14,Ret,10,10,12,16,18,9,15,14,15,13,18F,13,2,17,Ret,,23
15,Kevin Magnussen,12,12,10,13,16,19,12,Ret,12,17,8,12,15,14,18,10,,19†,117,7,WD,12,9,16F,16
16,Alexander Albon,15,11,11,Ret,12,18,Ret,9,Ret,18,15,9,14,12,14,9,7,Ret,16,Ret,DNS,Ret,15,11,12
17,Daniel Ricciardo,13,16,12,Ret,Ret,154,13,12,8,15,9,13,12,10,12,13,13,18F,,,,,,,12
18,Oliver Bearman,,7,,,,,,,,,,,,,,,10,,,,12,,,,7
19,Franco Colapinto,,,,,,,,,,,,,,,,12,8,11,10,12,Ret,14,Ret,Ret,5
20,Zhou Guanyu,11,18,15,Ret,14,14,15,16,15,13,17,18,19,Ret,20,18,14,15,19,15,15,13,8,13,4
21,Liam Lawson,,,,,,,,,,,,,,,,,,,9,16,9,16,14,17†,4
22,Valtteri Bottas,19,17,14,14,Ret,16,18,13,13,16,16,15,16,15,19,16,16,16,17,14,13,18,11,Ret,0
23,Logan Sargeant,20,14,WD,17,17,Ret,17,15,Ret,20,19,11,17,17,16,,,,,,,,,,0
24,Jack Doohan,,,,,,,,,,,,,,,,,,,,,,,,15,0
Pos.,Driver,BHR,SAU,AUS,JPN,CHN,MIA,EMI,MON,CAN,ESP,AUT,GBR,HUN,BEL,NED,ITA,AZE,SIN,USA,MXC,SAP,LVG,QAT,ABU,Points
Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138],Sources:[136][132][137][138]
